WAGYRO;10
Time;Ax;Ay;Az;Gx;Gy;Gz;Hx;Hy;Hz;Temp;AnBat;Angle
96;806;808;764;765;765;384;-283;-157;372;231;854;282;
97;806;808;764;765;765;385;-287;-165;375;231;853;282;
98;805;806;764;765;765;385;-286;-157;376;231;853;282;
99;806;806;765;765;764;384;-287;-154;370;231;854;282;
0;805;806;765;765;764;384;-286;-163;375;231;852;208;
1;804;807;764;765;765;384;-284;-160;375;231;853;208;
2;805;808;764;764;764;384;-288;-164;380;231;852;196;
3;807;807;765;765;764;384;-287;-156;375;231;853;277;
4;805;807;764;765;765;385;-287;-160;379;231;852;278;
5;805;807;764;765;765;384;-294;-159;378;231;853;278;
6;804;809;763;765;764;384;-288;-158;379;231;853;282;
7;805;809;765;765;764;384;-291;-159;379;231;853;282;
8;804;808;765;765;764;384;-288;-155;377;231;852;282;
9;805;808;765;765;764;384;-294;-157;378;231;853;282;
10;806;807;767;765;764;384;-288;-164;377;231;853;282;
11;806;808;766;765;765;384;-286;-160;376;231;853;282;
12;806;809;766;764;765;384;-292;-164;377;231;853;282;
13;806;808;766;764;765;384;-288;-163;377;231;853;208;
14;806;807;765;765;765;384;-290;-156;375;231;853;208;
15;806;806;764;765;765;384;-295;-157;380;231;853;198;
16;806;807;764;765;765;384;-286;-156;375;231;852;278;
17;805;808;765;765;765;384;-289;-163;379;231;852;278;
18;805;808;765;764;764;384;-286;-160;378;231;853;279;
19;806;807;766;764;764;384;-293;-169;378;231;852;282;
20;804;807;763;764;765;384;-287;-160;385;231;852;282;
21;805;807;764;765;765;384;-288;-160;374;231;852;282;
22;805;808;765;765;764;384;-286;-160;374;231;853;282;
23;805;808;765;765;764;384;-291;-158;374;231;853;282;
24;806;808;765;764;764;384;-289;-155;378;231;852;282;
25;807;807;765;765;765;384;-290;-163;382;231;852;283;
26;806;807;764;765;765;384;-290;-163;382;231;853;208;
27;806;807;765;765;765;384;-286;-156;374;231;853;208;
28;805;807;764;765;764;384;-280;-164;379;231;852;198;
29;806;807;765;764;764;384;-284;-157;374;231;852;278;
30;806;806;765;765;764;384;-287;-160;374;231;853;278;
31;806;807;766;765;765;384;-284;-157;376;231;853;282;
32;805;808;765;765;765;384;-293;-156;374;231;852;282;
33;805;809;765;764;764;384;-287;-155;379;231;853;283;
34;805;808;764;764;765;384;-284;-162;386;231;852;282;
35;805;807;765;765;764;384;-292;-158;382;231;853;282;
36;805;807;766;765;764;384;-289;-160;376;231;851;281;
37;806;807;765;765;764;384;-288;-165;378;231;853;282;
38;805;808;765;765;764;384;-286;-158;376;231;852;281;
39;805;807;765;765;765;384;-291;-161;377;231;853;208;
40;806;807;765;765;765;384;-286;-157;382;231;851;208;
41;806;807;765;765;765;384;-293;-152;378;231;853;198;
42;805;808;765;765;765;384;-289;-161;381;231;852;278;
43;805;807;764;765;765;384;-290;-155;380;231;852;278;
44;806;807;765;765;764;384;-289;-161;376;231;852;282;
45;806;807;765;765;765;384;-287;-160;382;231;853;282;
46;805;807;765;765;765;384;-293;-154;379;231;852;282;
47;806;807;765;765;765;384;-286;-158;378;231;852;282;
48;806;807;765;764;765;384;-290;-152;377;231;852;282;
49;805;806;765;764;764;384;-284;-159;372;231;852;281;
50;805;807;765;765;765;384;-290;-153;379;231;852;281;
51;805;807;764;765;765;384;-282;-164;377;231;852;207;
52;805;808;765;765;764;384;-286;-155;378;231;852;207;
53;806;807;765;765;765;384;-287;-159;375;231;852;201;
54;806;806;765;765;765;384;-288;-151;378;231;852;197;
55;806;807;765;765;764;384;-286;-155;378;231;852;277;
56;805;807;765;765;765;384;-286;-160;374;231;853;277;
57;806;807;764;765;764;384;-287;-163;382;231;852;281;
58;806;807;765;764;764;384;-288;-161;374;231;852;281;
59;806;806;765;764;765;384;-288;-157;376;231;852;281;
60;806;807;765;765;765;384;-284;-155;375;231;853;281;
61;805;808;765;765;765;384;-285;-155;376;231;853;281;
62;805;807;765;765;764;384;-288;-153;372;231;852;281;
63;805;806;765;764;764;384;-287;-155;382;231;852;281;
64;806;807;766;764;764;384;-282;-163;379;231;852;207;
65;806;807;766;765;765;385;-282;-155;376;231;853;207;
66;805;806;765;765;765;384;-287;-160;381;231;852;201;
67;806;806;765;764;764;384;-288;-160;378;231;852;197;
68;805;807;765;765;764;384;-288;-157;382;231;852;277;
69;805;807;765;764;764;384;-286;-155;380;231;852;277;
70;805;807;765;765;765;384;-285;-158;379;231;852;281;
71;804;808;764;765;765;384;-286;-155;382;231;852;281;
72;805;807;765;765;764;384;-285;-157;376;231;852;281;
73;806;807;765;765;764;384;-280;-150;378;231;853;281;
74;806;806;765;765;764;384;-287;-154;380;231;852;281;
75;804;807;764;765;764;384;-284;-161;375;231;853;281;
76;805;807;764;765;764;384;-285;-155;379;231;852;280;
77;805;806;765;765;764;384;-287;-153;374;231;852;206;
78;806;807;765;765;764;384;-284;-161;377;231;853;206;
79;806;808;765;765;765;384;-291;-156;375;231;853;200;
80;805;807;765;765;765;385;-286;-155;379;231;852;196;
81;805;807;765;765;764;384;-289;-152;383;231;852;276;
82;805;807;765;764;764;384;-286;-158;380;231;852;276;
83;806;807;766;765;765;384;-278;-157;379;232;852;280;
84;806;808;766;765;765;384;-286;-154;378;231;852;280;
85;806;807;766;765;765;385;-287;-154;376;231;852;280;
86;805;806;765;765;765;384;-287;-158;380;231;852;280;
87;805;807;764;764;765;384;-283;-158;382;231;852;280;
88;807;806;765;764;765;384;-287;-160;379;231;853;280;
89;805;809;760;764;765;383;-285;-153;379;231;852;279;
90;799;816;749;762;765;381;-290;-148;379;231;852;205;
91;802;820;741;760;763;380;-285;-148;376;231;852;205;
92;805;820;732;760;763;382;-295;-133;373;231;853;196;
93;809;806;723;762;764;385;-297;-125;372;231;852;196;
94;813;794;721;765;765;383;-294;-127;376;231;852;276;
95;802;797;712;767;766;378;-294;-123;376;231;853;276;
96;803;808;724;769;765;376;-290;-146;373;231;853;280;
97;805;813;736;771;766;380;-288;-154;380;231;852;280;
98;804;812;739;773;767;385;-285;-182;385;231;853;281;
99;806;810;744;774;767;387;-284;-191;391;231;852;281;
0;804;804;752;776;768;388;-273;-215;393;231;851;281;
1;797;802;752;776;768;387;-270;-246;399;231;852;281;
2;792;802;757;776;766;386;-263;-270;397;231;851;279;
3;795;804;774;776;764;389;-255;-308;396;231;852;207;
4;801;802;794;774;763;392;-255;-325;386;231;851;208;
5;808;799;810;774;764;393;-273;-350;380;231;851;197;
6;803;797;811;771;763;391;-277;-359;375;231;852;197;
7;815;791;822;767;762;386;-289;-372;363;231;852;276;
8;814;798;825;768;763;387;-290;-374;362;231;852;278;
9;810;801;824;768;764;386;-295;-380;356;232;851;281;
10;808;811;827;766;765;382;-292;-389;351;231;852;282;
11;806;817;825;763;765;383;-288;-391;354;231;852;281;
12;807;809;817;762;765;385;-290;-385;352;231;852;282;
13;810;804;811;761;765;383;-292;-381;359;231;851;282;
14;807;807;802;761;765;381;-287;-375;362;231;852;282;
15;804;810;794;761;766;381;-277;-365;365;231;852;281;
16;801;812;782;759;765;380;-273;-355;370;231;852;208;
17;799;815;773;757;764;379;-274;-352;375;231;851;208;
18;809;815;777;756;763;380;-272;-330;385;231;852;197;
19;810;809;766;757;765;381;-272;-311;382;231;851;272;
20;800;810;752;757;765;378;-273;-292;388;232;852;277;
21;800;812;756;757;764;376;-262;-277;389;231;851;277;
22;799;818;753;755;764;377;-263;-262;397;231;852;282;
23;797;814;743;755;764;380;-265;-244;401;231;851;281;
24;802;811;741;756;763;382;-267;-218;403;231;852;281;
25;812;805;748;758;764;384;-262;-199;396;231;851;280;
26;801;807;732;760;766;383;-266;-183;395;231;852;280;
27;792;811;728;760;765;380;-273;-174;399;231;852;280;
28;796;810;735;760;763;380;-271;-162;392;231;851;279;
29;802;804;744;762;763;383;-273;-157;392;231;851;206;
30;803;799;747;763;764;384;-275;-148;387;231;852;206;
31;804;799;752;763;763;382;-277;-143;387;231;852;196;
32;806;800;758;764;764;382;-283;-139;387;231;851;275;
33;805;801;759;765;765;384;-279;-134;378;231;851;276;
34;802;800;758;765;765;385;-278;-136;388;232;851;276;
35;800;799;756;765;764;384;-283;-140;387;231;852;280;
36;802;800;760;765;763;383;-281;-141;389;231;850;280;
37;805;802;765;765;763;383;-283;-142;387;231;851;280;
38;807;802;768;766;764;385;-286;-144;383;231;851;281;
39;805;800;766;766;765;385;-285;-145;381;231;852;281;
40;804;802;765;766;764;384;-291;-144;382;231;851;280;
41;805;803;766;765;764;383;-285;-151;378;231;851;280;
42;805;803;766;766;764;384;-283;-152;386;231;851;207;
43;805;804;767;766;765;385;-290;-158;376;231;851;207;
44;803;804;764;766;765;386;-297;-158;381;231;851;197;
45;804;802;763;765;764;384;-287;-157;381;231;851;276;
46;805;803;766;765;764;385;-298;-165;379;232;851;277;
47;805;804;766;765;764;385;-295;-166;374;231;851;277;
48;806;804;767;765;764;385;-292;-159;382;231;850;281;
49;805;804;766;765;765;385;-297;-160;376;232;851;282;
50;804;804;764;765;764;385;-287;-163;380;232;851;281;
51;805;803;764;765;764;384;-293;-160;371;231;851;281;
52;807;803;766;765;764;384;-286;-163;377;232;851;281;
53;808;803;765;765;764;385;-293;-155;377;231;851;281;
54;806;805;765;765;765;385;-297;-161;376;231;851;280;
55;806;805;765;765;764;386;-290;-158;378;231;851;207;
56;807;804;765;765;765;386;-301;-161;380;231;851;207;
57;808;802;764;765;765;386;-302;-162;373;231;851;197;
58;808;801;764;765;765;384;-299;-165;376;232;851;277;
59;808;805;766;765;764;384;-300;-157;374;231;851;277;
60;808;804;765;765;765;386;-297;-160;379;232;851;281;
61;807;802;764;765;765;386;-294;-153;374;232;851;281;
62;806;802;764;765;765;385;-295;-157;377;232;851;281;
63;806;804;765;765;765;384;-293;-154;378;231;851;281;
64;807;805;766;765;765;385;-293;-159;376;231;851;281;
65;807;803;766;765;765;386;-293;-161;378;232;851;281;
66;804;804;764;765;765;386;-291;-161;375;231;851;281;
67;805;806;765;765;765;385;-289;-157;375;232;851;280;
68;806;805;767;765;764;385;-290;-162;383;231;851;207;
69;805;806;766;765;765;386;-288;-154;376;231;852;207;
70;805;804;765;765;765;387;-290;-160;378;231;851;197;
71;805;801;764;765;765;387;-286;-152;378;232;851;277;
72;803;802;763;765;765;386;-288;-156;380;231;851;277;
73;805;805;765;765;764;385;-292;-155;378;232;852;281;
